35.32 segundos, 1564 Kilobytes
34.40 segundos, 1548 Kilobytes
22.03 segundos, 1552 Kilobytes
24.57 segundos, 1576 Kilobytes
24.35 segundos, 1572 Kilobytes
26.77 segundos, 1576 Kilobytes
28.61 segundos, 1560 Kilobytes
25.12 segundos, 1572 Kilobytes
27.86 segundos, 1548 Kilobytes
29.12 segundos, 1540 Kilobytes
22.48 segundos, 1572 Kilobytes
27.55 segundos, 1580 Kilobytes
38.21 segundos, 1580 Kilobytes
38.33 segundos, 1604 Kilobytes
57.43 segundos, 1580 Kilobytes
24.51 segundos, 1588 Kilobytes
