3.15 segundos, 1100 Kilobytes
2.48 segundos, 1100 Kilobytes
4.30 segundos, 1100 Kilobytes
2.98 segundos, 1104 Kilobytes
2.73 segundos, 1128 Kilobytes
4.07 segundos, 1100 Kilobytes
3.54 segundos, 1112 Kilobytes
3.88 segundos, 1100 Kilobytes
4.08 segundos, 1104 Kilobytes
3.22 segundos, 1104 Kilobytes
4.28 segundos, 1100 Kilobytes
3.51 segundos, 1108 Kilobytes
3.00 segundos, 1116 Kilobytes
2.82 segundos, 1112 Kilobytes
4.48 segundos, 1100 Kilobytes
4.05 segundos, 1112 Kilobytes
