152.36 segundos, 2016 Kilobytes
133.44 segundos, 2048 Kilobytes
123.48 segundos, 1984 Kilobytes
120.26 segundos, 2048 Kilobytes
131.92 segundos, 2044 Kilobytes
138.23 segundos, 2040 Kilobytes
142.70 segundos, 2040 Kilobytes
128.79 segundos, 2056 Kilobytes
150.25 segundos, 1976 Kilobytes
141.51 segundos, 2028 Kilobytes
157.20 segundos, 2052 Kilobytes
270.70 segundos, 2048 Kilobytes
291.06 segundos, 2044 Kilobytes
279.09 segundos, 2048 Kilobytes
249.75 segundos, 2052 Kilobytes
