196.87 segundos, 2648 Kilobytes
393.40 segundos, 2628 Kilobytes
249.92 segundos, 2528 Kilobytes
275.43 segundos, 2644 Kilobytes
328.85 segundos, 2592 Kilobytes
303.39 segundos, 2596 Kilobytes
313.30 segundos, 2624 Kilobytes
254.34 segundos, 2632 Kilobytes
283.04 segundos, 2624 Kilobytes
285.91 segundos, 2636 Kilobytes
341.54 segundos, 2580 Kilobytes
600.01 segundos, 2600 Kilobytes
560.13 segundos, 2580 Kilobytes
533.58 segundos, 2636 Kilobytes
669.33 segundos, 2636 Kilobytes
