771.63 segundos, 3324 Kilobytes
813.20 segundos, 3288 Kilobytes
930.00 segundos, 3180 Kilobytes
650.97 segundos, 3224 Kilobytes
842.09 segundos, 3340 Kilobytes
842.97 segundos, 3308 Kilobytes
749.95 segundos, 3364 Kilobytes
759.30 segundos, 3332 Kilobytes
909.89 segundos, 3304 Kilobytes
874.07 segundos, 3300 Kilobytes
830.09 segundos, 3332 Kilobytes
1531.80 segundos, 3320 Kilobytes
2609.10 segundos, 3252 Kilobytes
2338.08 segundos, 3312 Kilobytes
774.21 segundos, 3272 Kilobytes
